Code,Move,Type,I.O.,,,,,P.H.,Resources,,,Infrastructure,,,,,,
,,,Warmth,Affinity,Legitimacy,Dominance,Competence,Fear/Love,Low,Medium,High,,,,,,,
00180,Use unconvenitional violence,Assault,B,A,C,B,C,A,"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD","Communication, Funging, Transportation",,,,,,
00181,"Abduct, hijack, or take hostage",Assault,A,A,B,B,B,B,"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD","Communication, Funging, Transportation",,,,,,
00182,Physically assault,Assault,A,A,C,A,B,C,"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD","Communication, Funging, Transportation",,,,,,
01821,Sexually assault,Assault,A,A,C,A,B,C,"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD","Communication, Funging, Transportation",,,,,,
01822,Torture,Assault,A,A,C,A,B,C,"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD","Communication, Funging, Transportation",,,,,,
01823,Kill by phsyical assault,Assault,A,A,C,B,B,C,"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD","Communication, Funging, Transportation",,,,,,
00183,"Conduct suicide, car, or other non-military bombing",Assault,A,A,C,C,C,C,"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD","Communication, Funging, Transportation",,,,,,
01831,Conduct cyber attack,Assault,B,B,C,C,C,B,"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD","Communication, Funging, Transportation",,,,,,
01831,Carry out suicide bombing,Assault,A,A,C,C,C,B,"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD","Communication, Funging, Transportation",,,,,,
