Code	Move	Type	I.O.					P.H.	Resources			Infrastructure
			Warmth	Affinity	Legitimacy	Dominance	Competence	Fear/Love	Low	Medium	High	
180	Use unconvenitional violence	Assault	B	A	C	B	C	A	"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD"	"Communication, Funging, Transportation"
181	"Abduct, hijack, or take hostage"	Assault	A	A	B	B	B	B	"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD"	"Communication, Funging, Transportation"
182	Physically assault	Assault	A	A	C	A	B	C	"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD"	"Communication, Funging, Transportation"
1821	Sexually assault	Assault	A	A	C	A	B	C	"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD"	"Communication, Funging, Transportation"
1822	Torture	Assault	A	A	C	A	B	C	"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD"	"Communication, Funging, Transportation"
1823	Kill by phsyical assault	Assault	A	A	C	B	B	C	"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD"	"Communication, Funging, Transportation"
183	"Conduct suicide, car, or other non-military bombing"	Assault	A	A	C	C	C	C	"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD"	"Communication, Funging, Transportation"
1831	Conduct cyber attack	Assault	B	B	C	C	C	B	"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD"	"Communication, Funging, Transportation"
1831	Carry out suicide bombing	Assault	A	A	C	C	C	B	"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD"	"Communication, Funging, Transportation"
1832	Carry out vehicular bombing	Assault	A	A	C	C	C	B	"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD"	"Communication, Funging, Transportation"
1833	Carry out roadside bombing	Assault	A	A	C	C	C	B	"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD"	"Communication, Funging, Transportation"
1834	Carry out location bombing	Assault	A	A	C	B	C	B	"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD"	"Communication, Funging, Transportation"
184	Use as a human shield	Assault	B	A	C	A	C	B	"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD"	"Communication, Funging, Transportation"
185	Attempt to assassinate	Assault	A	A	C	C	B	A	"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD"	"Communication, Funging, Transportation"
186	Assassinate	Assault	A	A	C	C	B	A	"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD"	"Communication, Funging, Transportation"
												
190	Use conventional violence	Fight	A	A	C	B	B	A	"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD"	"Communication, Funging, Transportation"
192	Occupy territory	Fight	A	A	A	A	A	B	"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD"	"Communication, Funging, Transportation"
193	Fight with small arms and light weapons	Fight	A	A	C	C	C	B	"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS"	"PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD"	"Communication, Funging, Transportation"
